,Deal status,"Deal value
th EUR","Acquiror stock price 3 months prior to rumour
EUR","Target stock price 3 months prior to rumour
EUR",Deal sub-type,Target major sector,"Target operating revenue/turnover
th EUR
Last avail. yr"
0,0,"134,715,295.00*",77.4007117975805,36.27074416607737,1,1,2280999.9999999865
56,0,"26,900,000.00*",92.41097730630239,66.48749500000001,1,1,9587000.0
60,0,"24,864,340.32*",26.868310970054715,76.759092641151,2,2,9837539.208
63,0,24369761.06,50.831414982733,140.72652613726703,1,3,7961014.100400001
66,0,"22,330,973.99*",35.842115811850526,81.36674115177907,2,4,7921008.749388
70,0,"17,400,448.14*",23.584174132635997,18.412981528591,2,2,9382833.348
73,0,"17,175,919.63*",18.01801833258492,21.33316755856,2,1,7463356.571999999
103,0,"12,061,403.46*",52.91,46.143233026358004,3,5,12616454.205599999
107,0,"10,932,000.73*",52.63801873800001,23.151389369,4,6,23829235.836
111,0,"9,915,371.73*",52.63801873800001,23.151389369,4,6,23829235.836
115,0,9459608.05,71.44153868268947,47.849300646104005,5,3,8868666.663185999
119,0,7847400,29.867607404301676,30.169001,2,7,322929.0
122,0,"6,577,362.00*",29.559999,24.935024782858445,3,3,3431749.0031999997
136,0,5567847.32,8.198489531968999,37.65286818133198,6,3,7476702.692731501
144,0,"5,242,052.58*",23.373092879037998,13.894965773415999,4,8,17203774.14
148,0,"4,924,366.36*",23.373092879037998,13.894965773415999,2,8,17203774.14
152,0,"4,746,506.01*",115.16114237930447,22.121535814248297,4,3,3980630.072898401
156,0,"4,664,258.50*",16.726457953945854,37.353116783535896,6,6,1270471.1288639999
160,0,"4,280,227.58*",115.16114237930447,22.121535814248297,2,3,3980630.072898401
172,0,"3,888,621.21*",18.577832422680004,19.285921937151006,2,6,2440755.9885239997
180,0,"3,695,130.21*",49.106133302106755,23.777167278731163,6,7,4902170.6328
184,0,"3,394,564.00*",4.256801099030642,3.9370080281518787,2,9,2939046.508860001
187,0,"3,342,998.15*",267.02251764644944,26.61913253016431,6,3,641128.7660000001
191,0,"3,340,204.04*",21.77752452367463,7.543630774499998,4,1,5772557.112
219,0,"2,771,912.53*",21.77752452367463,7.543630774499998,4,1,5772557.112
223,0,"2,636,772.92*",21.77752452367463,7.543630774499998,1,1,5772557.112
241,0,"2,209,800.00*",50.653756937617004,23.006574882538995,2,10,3447994.8047999996
255,0,"1,930,009.99*",49.88916269128001,0.8655703632745739,2,4,1068960.667719029
271,0,"1,566,477.40*",2.3216095059741604,3.129735148898768,6,8,363.05055056007365
276,0,"1,497,337.80*",2.2620007007419707,21.36090632239344,6,11,12288993.751598
280,0,"1,489,894.21*",2.2620007007419707,21.36090632239344,7,11,12288993.751598
284,0,"1,465,416.00*",2.2620007007419707,21.36090632239344,4,11,12288993.751598
293,0,"1,351,200.00*",36.564315673500005,9.91392,4,10,3157193.9359999998
307,0,"1,280,200.00*",36.564315673500005,9.91392,2,10,3157193.9359999998
321,1,"1,047,150.06*",10.14313067934229,9.635167855178091,2,7,17973.683868
341,1,826150.46,6.44160195,6.44160195,8,5,1939474.1216759998
380,0,"600,882.38*",14.976375854315057,23.152255821963003,9,7,821661.4353359999
390,0,"563,796.20*",18.091253954494725,1.7163274481067632,10,5,87030.42298516401
409,2,"507,157.34*",59.50107010379813,44.80452025940457,11,7,6598091.051999999
410,0,"499,099.05*",7.298938589840788,3.4061713419257007,6,9,2939046.508860001
418,0,"481,220.35*",15.703697371303377,6.11832399663,2,5,32822.70852924
